round_id	timestamp	issue	scenario_id	iteration	replace_kind	old_signal	new_spec_signal	workflow_path	workflow_ref	commit_before	commit_after	run_jsonl	human_log	tests	verdict	next_fix	next_scenario
ZEE-26-r1	2026-05-01T21:21:34	ZEE-26	observability.human_log_persistence	1	dimension	token/time smoke metrics	SPEC observability: structured logs plus operator-visible human log	WORKFLOW.md	existing workflow used by make zh-smoke-round	unknown	none	go/.symphony/logs/run-20260501-212134.jsonl	go/.symphony/logs/run-20260501-212134.human.log	make zh-smoke-round CHANGE_NOTE="Spec gap 验证：检查持久化 human log 可读性": success=true	partial	make optional human sink best-effort and validate sink failure behavior	observability.sink_failure
ZEE-33-r2	2026-05-01T22:23:46+0800	ZEE-33	observability.section_headers	2	dimension	flat current-issue human log	SPEC human-readable status surface has stable key=value issue boundaries without changing orchestrator behavior	WORKFLOW.zh-smoke.md	no workflow diff; smoke workflow from commit c89288e	c89288e629d531b4b796039e1f8f6969e66757da	f17f76b5a9ba31551aba539e951725ae26e0b079	go/.symphony/logs/run-20260501-222142.jsonl	go/.symphony/logs/run-20260501-222142.human.log	go test ./internal/logging: pass; go test ./...: pass after one flaky retry; make build: pass; git diff --check: pass; make zh-smoke-round CHANGE_NOTE="human log 增加 issue 分段": success=true	conforms	continue with optional sink failure best-effort if staying on observability	observability.sink_failure
2026-05-01-workflow_config_dynamic_reload-r1	2026-05-01T22:32:02+0800	synthetic	workflow_config.dynamic_reload_last_known_good	1	scenario	untested workflow_config coverage	SPEC dynamic reload keeps last known good on invalid reload and reapplies valid config without restart	WORKFLOW.md	no workflow diff; synthetic tests and config-only startup check	f17f76b5a9ba31551aba539e951725ae26e0b079	none	none	none	go test ./internal/workflow -run Reloader: pass; go test ./internal/orchestrator -run reload tests: pass; ./bin/symphony-go run --workflow ./WORKFLOW.md --once --no-tui --issue DOES-NOT-EXIST: pass	conforms	add runtime file-change smoke only if we need live log evidence; otherwise move to workspace_safety	workspace_safety
2026-05-01-workspace_safety-r1	2026-05-01T22:35:54+0800	synthetic	workspace_safety.root_and_hook_boundaries	1	scenario	untested workspace_safety coverage	SPEC workspace path stays inside root, sanitized workspace key, hooks run with workspace cwd, agent launch uses workspace cwd	WORKFLOW.md	no workflow diff; synthetic unit tests	f17f76b5a9ba31551aba539e951725ae26e0b079	none	none	none	go test ./internal/workspace -run workspace safety tests: pass; go test ./internal/orchestrator -run hook tests: pass; go test ./internal/codex -run TestRunnerSendsChinesePromptAndGitWritableRoots: pass	conforms	move to agent_runner continuation/cwd behavior or tracker_selection blocker semantics	agent_runner
ZEE-35-r2	2026-05-01T22:42:26+0800	ZEE-35	workspace_safety.real_issue_hook_cwd	2	scenario	synthetic workspace_safety evidence	SPEC workspace hooks and agent launch use the real per-issue workspace cwd	WORKFLOW.workspace-safety.md	scenario workflow added locally; ZEE-34 first run exposed stale cwd after bootstrap, fixed by cd "$workspace" before writing markers	f17f76b5a9ba31551aba539e951725ae26e0b079	none	go/.symphony/logs/run-20260501-224057.jsonl	go/.symphony/logs/run-20260501-224057.human.log	ZEE-34 setup run: failed due workflow hook stale cwd; ZEE-35 corrected run: Human Review, commit 7a58ac0, proof file paths match	conforms	keep workflow as scenario artifact or delete after review; move next to agent_runner real continuation/cwd smoke	agent_runner
ZEE-42-r1	2026-05-02T16:59:30+0800	ZEE-42	real_integration.auto_merge_no_human_review	1	scenario	manual parent-session merge accepted as success	SPEC real integration signal: listener owns Todo->In Progress->AI Review->Merging->Done without Human Review, merges local issue branch into main, pushes origin/main, and cleans workspace	WORKFLOW.md	WORKFLOW.md@975aac0; prompt now forbids child AI Review/Merging handoff and Merging runner has main checkout writable root	975aac0	96220b6	.symphony/logs/run-20260502-165107.jsonl	.symphony/logs/run-20260502-165107.human.log	make build: pass; listener ZEE-42: Done; rg target smoke line: pass; git diff --check: pass; git status --short --branch: clean	conforms	decide and test linear_graphql client-side tool contract, since real run used linear CLI fallback	agent_runner.linear_graphql_tool_contract
2026-05-06-agent_runner_linear_graphql_tool_contract-r2	2026-05-06T21:20:16+0800	synthetic	agent_runner.linear_graphql_tool_contract	2	scenario	ZEE-42 showed command -v linear_graphql empty and CLI fallback success	SPEC optional client-side tool signal: advertised dynamicTools, tool call executes configured Linear GraphQL, unsupported names fail without stalling, query has exactly one GraphQL operation	WORKFLOW.md	no workflow diff; synthetic codex app-server and fake GraphQL client	ebcda9ab91c350620fc1a81b41be6e325d54e59d	uncommitted	none	none	GOCACHE=$PWD/.gocache ./test.sh ./internal/service/codex: pass; GOCACHE=$PWD/.gocache ./build.sh: pass; git diff --check: pass	conforms	run one real isolated issue to prove live Linear workpad/status operation through injected linear_graphql	agent_runner.linear_graphql_tool_real_issue_ratchet
2026-05-06-agent_runner_input_policy-r2	2026-05-06T21:27:37+0800	synthetic	agent_runner.user_input_and_approval_policy	2	scenario	approval/user-input policy scattered in workflow and runner could stall on turn/input_required style events	SPEC policy signal: document approval/sandbox/operator posture and fail user-input/approval events instead of waiting indefinitely	WORKFLOW.md	no workflow diff; docs/runtime-policy.md added; synthetic app-server emits approval/input events	ebcda9ab91c350620fc1a81b41be6e325d54e59d	uncommitted	none	none	GOCACHE=$PWD/.gocache ./test.sh ./internal/service/codex: pass; GOCACHE=$PWD/.gocache ./build.sh: pass; git diff --check: pass	conforms	move next to tracker_selection static SPEC coverage	tracker_selection
2026-05-06-tracker_selection_static-r1	2026-05-06T21:30:09+0800	synthetic	tracker_selection.candidate_and_linear_contract	1	scenario	coverage ledger marked tracker_selection untested	SPEC tracker signal: candidate eligibility, sorting, Linear project/auth/query/pagination/normalization, and state refresh semantics are pinned by local tests	WORKFLOW.md	no workflow diff; local httptest and scheduler unit tests	ebcda9ab91c350620fc1a81b41be6e325d54e59d	uncommitted	none	none	GOCACHE=$PWD/.gocache ./test.sh ./internal/integration/linear ./internal/service/orchestrator: pass; GOCACHE=$PWD/.gocache ./build.sh: pass; git diff --check: pass	conforms	move next to cli_lifecycle or contract_scope static SPEC coverage	cli_lifecycle
2026-05-06-cli_lifecycle_static-r1	2026-05-06T21:37:10+0800	synthetic	cli_lifecycle.positional_and_startup_contract	1	scenario	coverage ledger marked cli_lifecycle untested	SPEC CLI signal: positional workflow path, default ./WORKFLOW.md, explicit flag precedence, startup and missing-workflow errors are pinned locally	WORKFLOW.md	no workflow diff; CLI parser and app runtime unit tests	ebcda9ab91c350620fc1a81b41be6e325d54e59d	uncommitted	none	none	GOCACHE=$PWD/.gocache ./test.sh ./cmd/symphony-go ./internal/app: pass; GOCACHE=$PWD/.gocache ./build.sh: pass; git diff --check: pass	conforms	move next to contract_scope or domain_model static SPEC coverage	contract_scope
